"sesso";"titolo";"giuridica2";"area";"corso";"aula";"edizione";"ore";"trimestre";"iscritti";"formati";"esito"
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"A09MD";42;1;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI MEMORIZZAZIONE                                                      ";"FUORI";"C09FV";8;3;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"A09MD";42;1;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"B09MD";42;1;1;1;1
"F";"DIPLOMA  INTERMEDIO                ";"Categoria C";"COMUNICAZIONE                           ";"LE FONTI PER L'INFORMAZIONE IN LINEA IN AMBITO GIURIDICO-AMMINISTRATIVO         ";"FUORI";"B09FV";12;2;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"B09MD";42;1;1;1;1
"F";"LICENZA SCUOLA MEDIA               ";"Categoria B";"COMUNICAZIONE                           ";"SCRITTURA, WEB, DOCUMENTI, INFORMAZIONE                                         ";"DENTRO";"A09GR";16;2;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"A09MD";42;1;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"A09MD";42;1;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"LA SEMPLIFICAZIONE DELLA DOCUMENTAZIONE AMMINISTRATIVA                          ";"DENTRO";"C09AL";8;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO BASE                                                         ";"FUORI";"D08EB";16;1;1;NA;0
"M";"LAUREA                             ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"B09MD";42;1;1;1;1
"M";"LAUREA                             ";"Categoria D";"GIURIDICA                               ";"IL CODICE DELL'AMMINISTRAZIONE DIGITALE                                         ";"FUORI";"C09MM";8;4;1;1;1
"M";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO AVANZATO                                                     ";"FUORI";"D08EB";24;1;1;1;1
"M";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO BASE                                                         ";"FUORI";"D08EB";16;1;1;1;1
"M";"DIPLOMA UNIVERSITARIO              ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"LE ACQUE REFLUE E LA TUTELA DELLE ACQUE                                         ";"FUORI";"A09MD";22;1;1;1;1
"M";"LAUREA                             ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO BASE                                                         ";"FUORI";"C09AT";16;4;1;1;1
"M";"LAUREA                             ";"Qualifica dirigenziale";"MANAGERIALE                             ";"SERVIZIO DI AGGIORNAMENTO PERMANENTE - AMBROSETTI                               ";"FUORI";"H09MD";8;2;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"GIURIDICA                               ";"L'ATTIVITA' CONTRATTUALE DELLA REGIONE TOSCANA - CORSO APPROFONDIMENTO FORNITURE";"DENTRO";"C09AL";28;4;1;NA;0
"M";"LAUREA                             ";"Categoria C";"TECNICO-SPECIALISTICA                   ";"LA NUOVA NORMATIVA TECNICA PER LE COSTRUZIONI - DM 14/01/2008                   ";"FUORI";"B09MD";42;1;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"SISTEMI INFORMATIVI E TECNOLOGIE        ";"ARCGIS 9.2 - CORSO BASE                                                         ";"FUORI";"D08EB";16;1;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"LETTURA RAPIDA DI DOCUMENTI                                                     ";"FUORI";"D09FV";16;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI NEGOZIAZIONE                                                        ";"FUORI";"B09FV";16;3;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"COMPETENZE TRASVERSALI                  ";"TECNICHE DI GESTIONE GRUPPI E CONDUZIONI RIUNIONI                               ";"FUORI";"B09FV";16;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"MANAGERIALE                             ";"COMPETENZE PER LA GESTIONE DELLE RISORSE FAVORENDO L'INNOVAZIONE E IL GOVERNO DE";"FUORI";"A09MM";24;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"COMUNICAZIONE                           ";"SCRITTURA, WEB, DOCUMENTI, INFORMAZIONE                                         ";"DENTRO";"A09GR";16;2;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"EUROPEA                                 ";"EUROPROGETTAZIONE                                                               ";"FUORI";"A09AL";32;3;1;NA;0
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"ISPETTORE FITOSANITARIO                                                         ";"FUORI";"A09GR";48;2;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"METODOLOGIE DI MONITORAGGIO SU INDICATORI AGROAMBIENTALI E SOCIO-ECONOMICI      ";"FUORI";"A09GR";32;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"ISPETTORE FITOSANITARIO                                                         ";"FUORI";"A09GR";48;2;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria D";"TECNICO-SPECIALISTICA                   ";"METODOLOGIE DI MONITORAGGIO SU INDICATORI AGROAMBIENTALI E SOCIO-ECONOMICI      ";"FUORI";"A09GR";32;4;1;1;1
"M";"DIPLOMA DI MATURITA                ";"Categoria C";"GIURIDICA                               ";"LA SICUREZZA                                                                    ";"FUORI";"A09GR";32;4;1;NA;0
